gene,log2FC,t_stat,p_value,case_mean,ctrl_mean,p_adj
ITK,-0.8098944083815789,-7.045200257178563,2.1070677907622702e-09,-0.29134293863157895,0.51855146975,2.914338138098065e-07
CUTA,-0.3710593525202991,-7.064241870018933,2.1756025701094694e-09,-0.13700483858974358,0.23405451393055554,2.947719482236075e-07
MYH9,0.7608860101482721,7.048720343735712,2.1554299139305837e-09,0.31851144997435893,-0.44237456017391313,2.947719482236075e-07
SIRPB1,0.6684592175797102,7.033554834685106,2.2023125033847598e-09,0.3186041276666666,-0.34985508991304354,2.9517740320374713e-07
ITGAM,0.7611235184320175,7.035326521152258,2.22305620728835e-09,0.3841605414736842,-0.3769629769583333,2.9517740320374713e-07
ZNF329,-0.42964627550438594,-7.184947481134822,2.3392719307337266e-09,-0.1458564819210526,0.28378979358333334,3.0753319501269723e-07
BIRC2,0.7371313298969298,7.0760555932227405,2.4796359356976463e-09,0.3543062741052631,-0.38282505579166665,3.22790254452876e-07
RNASEL,0.6009975271170568,7.199913669955013,2.637020907745045e-09,0.21290341476923075,-0.38809411234782604,3.399452777964923e-07
NGDN,-0.2572252672147436,-7.0644148830615325,2.680706723523724e-09,-0.09135474908974359,0.165870518125,3.422540757206539e-07
JAK2,0.5036493474210526,7.003640317136589,3.2987949764791063e-09,0.19771723992105264,-0.3059321075,4.14292912473854e-07
RTN3,0.4969205212227564,6.9351792650831605,3.3073541739891942e-09,0.20374146610470084,-0.29317905511805553,4.14292912473854e-07
CHD1L,-0.2746536027302631,-6.941926280355609,3.5001814961006725e-09,-0.13271183710526316,0.14194176562499997,4.3118520630566673e-07
CYBRD1,0.7844106098985506,7.035978352802796,3.5071548637605065e-09,0.31009965033333325,-0.47431095956521735,4.3118520630566673e-07
TARBP1,-0.3588717257872807,-6.903528264803947,4.006524198998681e-09,-0.13460641007894739,0.22426531570833333,4.836238937664045e-07
PJA2,0.7206973478969297,7.038644674421302,3.9957188475874065e-09,0.3210809086052631,-0.3996164392916666,4.836238937664045e-07
DIRC2,0.5846554934122807,6.879117328161352,4.174426565630569e-09,0.2812240220789474,-0.3034314713333333,4.993516751211054e-07
CCDC66,-0.33273619297324414,-6.939410211778864,4.244867451704544e-09,-0.14488352253846154,0.1878526704347826,5.032441966404727e-07
TSEN34,0.6385834218221154,6.955865093780815,4.315908368461189e-09,0.2577916775512821,-0.3807917442708333,5.071383302338732e-07
IQGAP1,1.0330233440614034,6.8552666305668515,4.4728523688419185e-09,0.4165044088947368,-0.6165189351666666,5.209695943287982e-07
SIRPG,-0.42547607174679486,-6.867804592498209,4.518266487123918e-09,-0.1840453930384615,0.24143067870833335,5.216829775307076e-07
TM9SF2,0.6849198069320175,7.018558638649134,4.8480260290514606e-09,0.23337464647368422,-0.4515451604583333,5.549318070150457e-07
DPYD,0.8323579470602006,6.927635697593399,4.920364148847864e-09,0.40994382553846154,-0.42241412152173907,5.583982493025806e-07
RRAGD,0.7335947691206139,6.874472821294082,4.9639811249850926e-09,0.38014971557894733,-0.35344505354166666,5.585740794707801e-07
CTSZ,0.8644263378494983,7.213555526242903,5.414940379238873e-09,0.29357484415384616,-0.5708514936956521,6.041981374414601e-07
MYO9B,0.4089385099078947,6.79277081795896,5.649302643808938e-09,0.18000871315789474,-0.22892979675,6.25095337537459e-07
TIMM22,-0.5484210206403508,-6.80961038780449,5.92461192097431e-09,-0.26486738147368416,0.28355363916666665,6.501404717908833e-07
PRAM1,0.6154652316042363,6.7855421909342,6.171090913465312e-09,0.26628890725641025,-0.34917632434782603,6.7163725531961e-07
PTAFR,0.5156718075328948,6.846642948063338,6.342242217847729e-09,0.14565161665789472,-0.370020190875,6.846527818583915e-07
CDR2,-0.5604341901820176,-6.883504889257984,6.840870217506604e-09,-0.19369682597368423,0.36673736420833336,7.266645979844216e-07
STX12,0.28732600951754383,6.792670883396756,6.7912850133817186e-09,0.1456281266842105,-0.14169788283333332,7.266645979844216e-07
TMEM55A,0.7348635548333333,6.805617855340259,6.9868664355841515e-09,0.2505292635,-0.48433429133333333,7.36282639140368e-07
SLAMF1,-0.5932732454254386,-6.753824358128757,7.0629435599742666e-09,-0.24278251684210525,0.35049072858333336,7.384390912546324e-07
STAU1,0.5030756491951754,6.732699604756859,7.379751922449754e-09,0.2598364472368421,-0.2432392019583333,7.655339533303737e-07
GAPVD1,0.36967559855295434,6.842004374754228,7.605397463482066e-09,0.12466012420512822,-0.2450154743478261,7.828253296132936e-07
SLC22A15,0.5646764383640351,6.722932752177524,7.666103504570728e-09,0.27685323794736844,-0.2878232004166667,7.830040179514625e-07
RAB11FIP1,0.38828734534455134,6.692298195372673,7.86954159655216e-09,0.18295015094871797,-0.20533719439583334,7.916043433259059e-07
CD97,0.6082315778685898,6.69393054229682,7.823004405511317e-09,0.2775948955769231,-0.3306366822916667,7.916043433259059e-07
WAC,0.27432894180982903,6.857645469798322,7.97243738604662e-09,0.0820053298931624,-0.19232361191666666,7.959249895633611e-07
STXBP5,0.5253747646907895,6.775290040540121,8.161812633732456e-09,0.30009877131578944,-0.225275993375,7.968569716963202e-07
HIC2,-0.2921124083201755,-6.70283880862997,8.120427951250835e-09,-0.13136237673684212,0.16075003158333334,7.968569716963202e-07
MAL,-0.8982630712387822,-6.688388566092961,8.1596527419519e-09,-0.44308304171794877,0.4551800295208334,7.968569716963202e-07
PPM1D,0.44702544121710525,6.68884681193066,8.47177210302854e-09,0.21444827534210525,-0.232577165875,8.210816787154231e-07
ZBTB25,-0.4955116467061403,-6.739770725271413,8.62699685267771e-09,-0.12117540228947367,0.37433624441666663,8.300671319554683e-07
PPP4R1,0.6963126511426283,6.711198709807544,8.737980240248263e-09,0.2892904523717949,-0.40702219877083334,8.346971340288953e-07
ECHDC2,-0.7908303561929824,-6.6809612430982295,8.884718876842878e-09,-0.45141357802631576,0.33941677816666666,8.426521231908553e-07
HIGD2A,-0.5577732508940915,-6.726296256035752,9.132202699164043e-09,-0.2719716545897436,0.28580159630434787,8.599814712021288e-07
NCR3,-0.669618373383772,-6.823703275667425,9.655853315708064e-09,-0.18113852534210526,0.4884798480416667,9.02890283985716e-07
KIAA0319L,0.5126189965416666,6.780684155280073,9.857859889060544e-09,0.2751057271111111,-0.23751326943055553,9.103192984174264e-07
NHP2L1,-0.43698776904380343,-6.8993722555413575,9.872418961598842e-09,-0.17794741930769228,0.2590403497361111,9.103192984174264e-07
ATP8B2,-0.2936785627408026,-6.724789645275781,1.007693708258892e-08,-0.13908215065384613,0.15459641208695651,9.227694522939012e-07
NT5C2,0.754424491357456,6.806836700961965,1.0618011243681158e-08,0.16563769531578948,-0.5887867960416666,9.510785699257205e-07
HEATR1,-0.4715674594202899,-6.677243677596089,1.0470100759253177e-08,-0.1856577223333333,0.28590973708695655,9.510785699257205e-07
CLEC4D,0.7614540171315789,6.737242555206175,1.0610387512057105e-08,0.42374295963157893,-0.3377110575,9.510785699257205e-07
TNFRSF25,-0.5701628716121794,-6.614025916550911,1.0672594285203521e-08,-0.23905799765384608,0.3311048739583333,9.510785699257205e-07
CTNNA1,0.6292062131293199,6.6612911994502975,1.1536704132601632e-08,0.1965291935641026,-0.43267701956521737,1.0212290498178966e-06
LIG1,-0.3831751266923077,-6.9074097496466775,1.1924428756614798e-08,-0.09810620069230769,0.285068926,1.0348533662113157e-06
B4GALT5,0.8154507445161652,6.627550277973174,1.1850568605180961e-08,0.4388401558205129,-0.3766105886956523,1.0348533662113157e-06
IGF2R,0.8789249011337721,6.65850236675337,1.1908589396478536e-08,0.48683033234210543,-0.39209456879166665,1.0348533662113157e-06
XRN1,0.242187252536859,6.584488675342745,1.2547334896797634e-08,0.097411704974359,-0.1447755475625,1.0818409919459676e-06
ZNF500,-0.34401824985964913,-6.612398641883547,1.2998366199448687e-08,-0.1679467660263158,0.17607148383333335,1.1134987509437397e-06
NDEL1,0.5128321721570512,6.560915826019974,1.3107664089641246e-08,0.21419416428205126,-0.298638007875,1.11566387039908e-06
DDX3X,0.28366717810256414,6.649872026412881,1.3419743342013722e-08,0.07856560993589745,-0.2051015681666667,1.1349512872309441e-06
PHTF1,0.4375169645197369,6.665782409521938,1.3956443331741013e-08,0.23780707189473682,-0.19970989262500002,1.1728712313851719e-06
PPP3R1,0.7084242177938596,6.569664355738142,1.4096894541268999e-08,0.32885433221052623,-0.3795698855833334,1.1772236837671054e-06
HBP1,0.36610604329605256,6.557483658389439,1.4206427291603207e-08,0.1790781514210526,-0.187027891875,1.1789558848619212e-06
PILRA,0.4872480713621795,6.532136658659356,1.4676518502929731e-08,0.24090783570940175,-0.24634023565277774,1.210402563241621e-06
GCA,0.6945954258596492,6.580160666575771,1.525335289254112e-08,0.2765132255263158,-0.4180822003333333,1.2502099981923518e-06
IQSEC1,0.45206873608361203,6.533784232467932,1.552381423906918e-08,0.1904919186923077,-0.26157681739130434,1.2645718126770588e-06
MMP9,1.4304355510958753,6.54661472416949,1.5954863586472754e-08,0.7666852294871795,-0.6637503216086956,1.2917602359828368e-06
SOAT1,0.3935972231783724,6.528289135098773,1.695747350731761e-08,0.20980025674358976,-0.18379696643478263,1.3563935736756821e-06
ARHGAP9,0.53158927999375,6.651685132591939,1.6895108437705412e-08,0.20396466200000005,-0.32762461799375,1.3563935736756821e-06
PPP3CC,-0.5845229969397994,-6.524205675913308,1.726801161246861e-08,-0.2581480704615384,0.3263749264782609,1.3729620250919654e-06
CD96,-0.6681100877932693,-6.4914037447363855,1.80802357645959e-08,-0.3096184477307693,0.3584916400625,1.4289843481089542e-06
EXOSC2,-0.36835411477591967,-6.491133612274901,1.8502443126107673e-08,-0.13511508638461536,0.2332390283913043,1.4537008273873235e-06
DNTTIP1,0.4689532149561404,6.4916252423833525,1.8667091560359755e-08,0.1943188952894737,-0.2746343196666667,1.4580096572850402e-06
MRPS26,-0.44807838464254385,-6.598416240556506,1.9091711267673195e-08,-0.1887248666842105,0.25935351795833333,1.4738357105358412e-06
OXCT1,-0.2991227143793859,-6.485423905684662,1.9035272737611096e-08,-0.1027692989210526,0.19635341545833332,1.4738357105358412e-06
EXOSC7,-0.4502659231973684,-6.522508692805854,1.9817561674158772e-08,-0.11886365944736843,0.33140226375,1.5210264965865905e-06
RALBP1,0.5740388230958753,6.481035297367994,1.9968957436100317e-08,0.26586689048717954,-0.3081719326086957,1.523838027796207e-06
