,NETosis_AIMS,Kynurenine_AIMS,Inflammasome_AIMS,Complement_AIMS,Metabolic_Stress_AIMS,Cytokine_Storm_AIMS,Angiogenesis_AIMS,Apoptosis_AIMS
GSM922915,0.6895753108962283,0.11518506670215056,0.39314267375642287,-0.14682673986764316,0.35650588545337514,-0.025334103678917357,-0.16623725790893953,0.1649237747113666
GSM922916,0.7498656866097194,-7.622536920004475e-05,0.3854863637782245,0.9694870315009093,0.04836106458763406,0.730534372676265,-0.29237208220834665,0.16952600117227148
GSM922917,-0.25045265965989444,0.15809325746043876,-0.2226276201787205,0.028297687889456517,0.21414545599819784,0.2249972795644752,0.15019053380292777,0.26016420763508274
GSM922918,0.6212384689442342,-0.1692105172964721,-0.08548716143675014,-0.24601001572707282,0.21190375419860671,-0.28099092432059525,0.43469826680445894,0.11229335829496606
GSM922919,-0.04329367967089312,-0.3968881286463006,0.047345053469074486,0.24738690474516697,0.13866042863595962,0.2527481796299377,-0.15748429001509798,-0.03387634148343477
GSM922920,0.18834537283101707,-0.30014835721736755,-0.47675659632568773,0.2407757802132823,0.2558025298427342,0.014574246762887086,0.35824877289562873,-0.09901714865938041
GSM922921,-0.8468480331948541,0.1254380210078624,-0.25748881891905745,-0.30722093092378994,0.05492957601430551,0.029180401379166505,-0.234764255312613,-0.04291353442208772
GSM922922,-0.07391411561671139,0.4307227986328607,-0.0988828120573525,-0.3599215957658587,0.054203924817734804,-0.12155160437527979,-0.11794131303488126,0.20967929884146733
GSM922923,0.009070979950352826,-0.25733132901881606,0.6301788502676542,0.022548528089759316,0.0744822039852569,-0.04513183802973188,0.0992831151140817,-0.5570582200698078
GSM922924,-0.05112026165491036,-0.04841255339921731,0.5249832864585311,0.05622651102783696,-0.4718347758399345,0.06510051535327231,-0.11947515241942609,-0.2482350328889966
GSM922925,1.0910698349406227,-0.3317531608955921,0.6278126657414667,0.40052675040351077,-0.16374386318269904,-0.07517074669967741,0.9039290236175574,0.50027438857695
GSM922926,-0.23350541264909327,-0.24013431026525556,-0.10787483982576956,-0.26266543210202753,-0.6161808846402573,-0.33943990476226343,0.14108221845245672,-0.18827610292027613
GSM922927,-1.3903076710419253,-0.6689322125496281,-0.29888971487922206,-0.3496338572184089,-0.6313582804836892,0.3873659735249635,-0.01858181125593393,0.10223726853512743
GSM922928,-0.09316073539552615,0.25548971626853684,-0.19649950581355846,-0.5107690930361284,0.029315379490935004,-0.33971251744632947,-0.15057771341126316,-0.07912094791105576
GSM922929,-0.615483802180082,-0.5999964770393583,-0.2567096458336866,0.0020628622869745122,0.006195729663201963,-0.18648564596873715,-0.20451650231916507,-0.21071071767452726
GSM922930,-0.7014503203502609,-0.5632445603446877,-0.2621791819202783,-0.43181065962480275,0.01237694986196235,-0.21420512889442736,-0.35357142364959987,-0.3988876188115063
GSM922931,0.08821498909344326,-0.23704725663690568,0.05661292294287987,-0.13376050466483683,0.2907697751018678,-0.3597149343848445,-0.007401120541938407,-0.16673208654741284
GSM922932,-0.6879819391743425,0.3405240097473866,-0.4159795469950268,-0.48085342041724927,-0.12047755092401254,-0.4205634181563162,0.21893419769184644,-0.2682513657707089
GSM922933,0.7607274354558232,-0.0826596343365987,0.6530419463731206,0.9177662429449275,0.3197662853853462,0.06686179592470867,0.12818689168566547,0.10567276071118266
GSM922934,-0.8556683295534048,-0.31319194092320357,-0.4194302454486316,-0.490123644192372,0.08717023603686307,-0.22914070459825936,-0.20654406327281286,-0.019347140712713276
GSM922935,-1.3503360860775917,-0.2176424386065018,-0.5238283400040387,-0.4124939776398404,-0.3414846572250026,0.051234216996499236,-0.21565870657818856,-0.1337085077400435
