gene,GSE16561_log2FC,GSE16561_pvalue,GSE16561_padj,GSE22255_log2FC,GSE22255_pvalue,GSE22255_padj,GSE37587_log2FC,GSE37587_pvalue,GSE37587_padj,meta_padj,TRI
LILRB4,0.1713867999342105,0.0342346097151873,0.1416979887151675,-0.1025525000000016,0.2483251841556366,0.6182479019010356,24.43235294117642,0.1827694879771371,0.5267664991014601,0.13131355392197477,0.01343727869920541
FBXW12,0.0559162778026315,0.5427239814206024,0.8953853932480265,-0.0889349999999993,0.2634052793199891,0.6282951359558255,-4.3029411764705685,0.1634126363976391,0.5024995336007069,0.5676569636490777,0.0023665268733522892
DHX32,-0.1151650141326644,0.0725375744179564,0.2552077141286767,-0.0121804999999994,0.8492968764124776,0.9508717037641402,17.320588235294167,0.3194243502215525,0.6693938072122753,0.289254128584492,0.009525958138873365
ENPP3,-0.0167480023511705,0.8685951562871964,0.9515846934968146,0.0468668333333326,0.1555885505365694,0.5527368531907797,-4.270588235294184,0.3713464876257853,0.7073795171332884,0.8770957470025487,0.0023487334382143493
XDH,0.0514360165384615,0.5990248879446329,0.903755394905552,0.1629572499999998,0.0080146901251269,0.3215077204877192,-2.094117647058823,0.4645117554840553,0.7746548840791063,0.8477741221205676,0.0011517205289315361
FBP1,0.1862886415,0.0777163121790791,0.268728435706722,-0.1533725000000014,0.18593117768625,0.5760135738026197,141.0647058823531,0.0597825410176971,0.3133804104354453,0.10893074298406907,0.07758261237164946
MRPS6,-0.2042696538216276,0.0291660536537031,0.1243163076627086,-0.0824620000000013,0.2605882150676623,0.6259208248314798,-119.26470588235316,0.6488682899864835,0.8745100643971303,0.2584805756128057,0.06559307225867118
RNF125,-0.2082999724559643,0.0001535219735059,0.0017411142086016,-0.0205477500000004,0.8695176165267531,0.9593102680403588,13.81470588235294,0.4159625586639276,0.740204205359384,0.005612691371368502,0.007597796803920541
NAG18,-0.0069680313618421,0.9420268320340932,0.9775264199189736,-0.0672830000000002,0.1438762458861287,0.5402370012568378,4309.323529411762,0.0067531760727942,0.0970044576622334,0.1327304176579479,1.0
SEH1L,-0.1258477393002136,0.0066881320899294,0.0376292448686791,-0.1680762500000003,0.0532408777092272,0.4401169111915898,14.203921568627436,0.1005866556640426,0.3989269173896775,0.029654232920950832,0.007811857220580562
COPS2,0.1044572525394736,0.3630836471236349,0.7858230915252853,0.0458095000000025,0.6518774394353293,0.86534011755876,-26.7764705882353,0.1097418814787753,0.4159727953968539,0.38736368397855847,0.014726493954203241
UBE2R2,0.213752545754738,0.0061460054220469,0.0350550921176768,-0.0779125000000018,0.2852308592026977,0.6428951533684298,1.5647058823528823,0.9308249631041982,0.9791972951193284,0.12389500116971351,0.0008605552266735312
PGBD2,-0.0522988859471153,0.300131772398317,0.7075904960768562,-0.0657830000000005,0.4544717585183552,0.7517722697902978,-13.54852941176472,0.118054380840604,0.4331379024044048,0.36403689427599883,0.0074514053602852915
PCDH11X,0.0597246611832265,0.5612597198634844,0.8993414494671831,0.0096549999999999,0.6795068499017505,0.8792013306858107,-2.1392156862745253,0.5276462182323611,0.8158945482344581,0.8604627164096729,0.0011765234991238905
TRAF3,-0.1047017851008772,0.1221480883363392,0.3784139796850006,-0.082550499999999,0.2518518407944718,0.6203997113503716,-3.4470588235295168,0.7013913982582912,0.895445693324676,0.5599934001980263,0.0018958096347019685
