Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Defense Response To Virus (GO:0051607),13/189,3.483115282261238e-05,0.0030862889340321,0,0,4.2048278841042,43.16255139992639,BNIP3L;RNASEL;RSAD2;STAT1;MX2;EIF2AK2;IFIT3;IFIT2;PLSCR1;TRIM25;F2RL1;APOBEC3A;TLR2
GO_Biological_Process_2023,Regulation Of MAP Kinase Activity (GO:0043405),10/114,3.628008411107011e-05,0.0031038237475712,0,0,5.446209587513935,55.68336270504102,RGS2;DUSP1;LRRK2;S100A12;IRAK3;TRIB1;TLR4;THBS1;SORL1;PIK3CG
GO_Biological_Process_2023,Granulocyte Activation (GO:0036230),4/12,4.316221039193082e-05,0.0033751908377086,0,0,27.972934472934472,281.1432424363271,PREX1;F2RL1;CTSG;CAMP
GO_Biological_Process_2023,Multicellular Organismal-Level Iron Ion Homeostasis (GO:0060586),4/12,4.316221039193082e-05,0.0033751908377086,0,0,27.972934472934472,281.1432424363271,SLC11A1;SLC40A1;CYBRD1;PICALM
GO_Biological_Process_2023,Positive Regulation Of Cell Motility (GO:2000147),14/221,4.3533295770526667e-05,0.0033751908377086,0,0,3.855270800572344,38.71456959428311,SEMA4A;GRN;STAT3;SEMA3E;THBS1;CXCL16;PPP3CA;SDCBP;PAK1;DAAM2;CEACAM6;MYADM;NUMB;F2RL1
GO_Biological_Process_2023,Negative Regulation Of Cell Junction Assembly (GO:1901889),5/24,5.5145000980593605e-05,0.0041459014373591,0,0,14.756390977443608,144.6944478047239,ROCK1;PTEN;THBS1;CORO1C;TLR2
GO_Biological_Process_2023,Positive Regulation Of Pattern Recognition Receptor Signaling Pathway (GO:0062208),6/39,5.964237846613839e-05,0.0043521394404261,0,0,10.217244073977598,99.3846063164558,RSAD2;F2RL1;CD14;TLR5;PJA2;TLR2
GO_Biological_Process_2023,Receptor-Mediated Endocytosis (GO:0006898),10/122,6.483249642494727e-05,0.0045956978180084,0,0,5.055124223602484,48.75011963452556,RAB31;ITGAM;RALB;FCHO2;PPT1;ADM;SORL1;IGF2R;CXCL16;PICALM
GO_Biological_Process_2023,Positive Regulation Of Intracellular Signal Transduction (GO:1902533),23/525,7.062655957933754e-05,0.0048673470643426,0,0,2.6417762684202946,25.25037307437525,OSBPL8;HIP1;RNF13;ROCK1;PELI2;EIF2AK2;SEMA3E;IQGAP1;TXN;THBS1;PIK3CG;RRAGD;TNFSF10;PELI1;TRIM25;S100A12;F2RL1;ADAM8;ALPK1;JAK2;TLR4;BIRC2;TLR2
GO_Biological_Process_2023,Positive Regulation Of Response To Biotic Stimulus (GO:0002833),6/41,7.977869154949244e-05,0.0053494846955213,0,0,9.632419156774455,90.8939548800388,GRN;PLSCR1;LY96;EMILIN2;ADAM8;CD1D
GO_Biological_Process_2023,Positive Regulation Of Erythrocyte Differentiation (GO:0045648),5/26,8.289090182113486e-05,0.0054119033531114,0,0,13.34965986394558,125.45990650303835,STAT1;STAT3;HMGB2;HIF1A;HSPA1A
GO_Biological_Process_2023,Negative Regulation Of Viral Process (GO:0048525),7/61,0.0001001980691623827,0.0063741387074838,0,0,7.297626649638143,67.19918529872162,PLSCR1;RNASEL;RSAD2;STAT1;EIF2AK2;APOBEC3A;SRPK1
GO_Biological_Process_2023,Cellular Response To Cytokine Stimulus (GO:0071345),16/308,0.00013491841981681316,0.0083683149891378,0,0,3.128136743847739,27.8743268353648,DUSP1;STAT1;USP10;DOCK8;LRRK2;STAT3;IRAK3;LILRB2;HIF1A;LILRA3;ZFP36L1;CTSG;CD58;JAK2;TLR4;TLR2
GO_Biological_Process_2023,Vacuolar Acidification (GO:0007035),5/29,0.00014324820683813856,0.008668263443059,0,0,11.679166666666667,103.37150671500147,ATP6V1A;GRN;SLC11A1;ATP6V1B2;PPT1
GO_Biological_Process_2023,Phagocytosis (GO:0006909),7/69,0.0002195077789357924,0.0129666380842785,0,0,6.353401928068224,53.521838590859375,ITGAM;ANXA3;SLC11A1;MYH9;CD14;TLR4;CORO1C
GO_Biological_Process_2023,Cellular Response To Molecule Of Bacterial Origin (GO:0071219),9/117,0.00024258843158387824,0.0138282598038289,0,0,4.705443159922929,39.16878761272148,HMGB2;LY96;CTSG;CD14;PPBP;LILRB2;TNFRSF1B;TLR4;TLR2
GO_Biological_Process_2023,Neutrophil Activation (GO:0042119),4/18,0.00024524120571079187,0.0138282598038289,0,0,15.97964997964998,132.8431179186119,PREX1;F2RL1;CTSG;CAMP
GO_Biological_Process_2023,Negative Regulation Of Multicellular Organismal Process (GO:0051241),13/231,0.0002630233970183872,0.0145013566222804,0,0,3.3874000751113256,27.923245177977197,GRN;IFNGR1;SLC11A1;PTEN;ADM;HMGCR;SAP30;CORO1C;RGS2;CHSY1;ALDH1A1;NPTN;TLR4
GO_Biological_Process_2023,Positive Regulation Of Angiogenesis (GO:0045766),9/119,0.00027545519356797656,0.0148566159835249,0,0,4.619416710457173,37.86575410241218,GRN;LRG1;ANXA3;CYP1B1;EMILIN2;KLF4;HIF1A;THBS1;HK2
GO_Biological_Process_2023,Negative Regulation Of Viral Genome Replication (GO:0045071),6/53,0.0003406654632713223,0.0179827875399181,0,0,7.168688654514418,57.239180310081295,PLSCR1;RNASEL;RSAD2;EIF2AK2;APOBEC3A;SRPK1
GO_Biological_Process_2023,Cellular Response To Lipopolysaccharide (GO:0071222),9/124,0.0003740501830888144,0.0188526907842288,0,0,4.417441568233224,34.85856411495423,HMGB2;LY96;CTSG;BPI;CD14;PPBP;LILRB2;TNFRSF1B;TLR4
GO_Biological_Process_2023,Positive Regulation Of Defense Response (GO:0031349),9/124,0.0003740501830888144,0.0188526907842288,0,0,4.417441568233224,34.85856411495423,LGALS2;PLSCR1;GRN;S100A12;EMILIN2;ADAM8;CD1D;TLR4;TLR2
GO_Biological_Process_2023,Regulation Of Inflammatory Response (GO:0050727),13/240,0.0003799413700973173,0.0188526907842288,0,0,3.2515907978463043,25.6078825389546,GRN;STAT3;PTGS2;TNFRSF1B;KLF4;MMP9;LGALS2;BCL6;S100A12;JAK2;TLR4;BIRC2;TLR2
GO_Biological_Process_2023,Positive Regulation Of NF-kappaB Transcription Factor Activity (GO:0051092),10/152,0.00039506356976285936,0.0192186807172873,0,0,3.981016533986528,31.19709223407378,MTPN;IL18RAP;STAT3;TRIM25;S100A12;EIF2AK2;IRAK3;TLR4;TLR2;HSPA1A
GO_Biological_Process_2023,Positive Regulation Of Myeloid Cell Differentiation (GO:0045639),5/36,0.0004107567527661003,0.0195474713301652,0,0,9.038709677419355,70.47942332188966,STAT1;STAT3;HMGB2;HIF1A;HSPA1A
GO_Biological_Process_2023,Response To Peptide Hormone (GO:0043434),6/55,0.0004175800002010309,0.0195474713301652,0,0,6.875387404245366,53.4976260073893,CREB1;ROCK1;SORT1;STAT1;STAT3;ZFP36L1
GO_Biological_Process_2023,Type II Interferon-Mediated Signaling Pathway (GO:0060333),3/9,0.0004302214368999239,0.0197662849064576,0,0,27.896306818181817,216.2301466632492,IFNGR1;STAT1;JAK2
GO_Biological_Process_2023,Phosphate-Containing Compound Metabolic Process (GO:0006796),11/184,0.0004653067499709972,0.0207685539984762,0,0,3.599139669310391,27.61552813594572,HK3;PPP3CA;PFKFB4;PAK1;LRRK2;TAOK1;STAT3;ALPL;PAK2;HK2;PIK3CG
GO_Biological_Process_2023,Protein Catabolic Process (GO:0030163),8/102,0.00046877832483461053,0.0207685539984762,0,0,4.795143785639831,36.756601938585646,BNIP3L;CEACAM1;LAMP2;CTSZ;PPT1;TPP1;DENND3;CTSS
GO_Biological_Process_2023,Positive Regulation Of Vasculature Development (GO:1904018),8/104,0.0005340322263909248,0.023244455327647,0,0,4.694764649375601,35.375306895748,GRN;LRG1;ANXA3;CYP1B1;EMILIN2;HIF1A;THBS1;HK2
GO_Biological_Process_2023,Glucose Transmembrane Transport (GO:1904659),4/22,0.0005542915478220637,0.0234485684974719,0,0,12.42608420386198,93.1685395593317,SLC2A14;SORT1;SLC2A3;PPBP
GO_Biological_Process_2023,Regulation Of Phagocytosis (GO:0050764),6/58,0.000557624160157535,0.0234485684974719,0,0,6.477738593784439,48.53008634117912,PLSCR1;SLC11A1;DYSF;OLFM4;SIRPB1;TLR2
GO_Biological_Process_2023,Cellular Response To Leucine (GO:0071233),3/10,0.0006065313639691863,0.0238857827620246,0,0,23.9099025974026,177.11867942354186,SESN3;RRAGD;UBR2
GO_Biological_Process_2023,Response To Leucine (GO:0043201),3/10,0.0006065313639691863,0.0238857827620246,0,0,23.9099025974026,177.11867942354186,SESN3;RRAGD;UBR2
GO_Biological_Process_2023,Positive Regulation Of Nitric-Oxide Synthase Biosynthetic Process (GO:0051770),3/10,0.0006065313639691863,0.0238857827620246,0,0,23.9099025974026,177.11867942354186,JAK2;TLR4;TLR2
GO_Biological_Process_2023,Positive Regulation Of Transforming Growth Factor Beta Production (GO:0071636),3/10,0.0006065313639691863,0.0238857827620246,0,0,23.9099025974026,177.11867942354186,CD46;PTGS2;THBS1
