gene,log2FC,t_stat,p_value,p_adj
RTN2,-62.020588235294156,4.184739468882072,9.865892548443975e-05,0.007618867652215236
DYNLT1,-887.1264705882359,4.197722925832509,9.869296853298845e-05,0.007618867652215236
MEN1,11.487499999999983,-4.142038883873913,0.00010354394306723449,0.007901474000268619
RPL17,-4895.429411764703,4.137894819796977,0.00010330662628168877,0.007901474000268619
ITGB3BP,-84.59999999999991,4.196020428126484,0.00010419504149415101,0.007905724348339069
ZNF721,-198.5205882352942,4.162206291071288,0.0001068413561159832,0.00804714380030291
SLC35A1,-533.7029411764702,4.121796649371122,0.0001072710086348558,0.00804714380030291
VPS52,59.1970588235294,-4.147468684639533,0.00010984544631975752,0.008193976608054722
WDR13,229.49117647058802,-4.107075875757987,0.0001127665664300739,0.008311723866520872
SAFB2,298.8088235294117,-4.111808811615323,0.0001133035899624688,0.008311723866520872
G6PC3,49.541176470588255,-4.108583174389053,0.00011392783127781283,0.008311723866520872
MTSS1,-430.25882352941153,4.143471200296102,0.00011232539222617994,0.008311723866520872
RPL35A,-10024.25882352941,4.1073292337738785,0.00011809588512684386,0.008568727665105098
KPNA4,-392.76176470588234,4.090213374628056,0.0001223078507843382,0.008684511458366004
TOP3B,91.89705882352928,-4.086274187840823,0.00012215222703527593,0.008684511458366004
TNP1,-15.876470588235264,4.087479714399591,0.00012076394402991228,0.008684511458366004
SMC4,-69.89264705882357,4.146608497285752,0.00012161251292701064,0.008684511458366004
GLMN,-44.80147058823525,4.10857007158629,0.00012296468774123076,0.008684708105468415
RPL26L1,-191.20588235294122,4.094073462197902,0.00012446055617276074,0.008743847962232366
SLC35B3,-92.78235294117644,4.073616911461235,0.0001268222610616642,0.008862873591456722
EEF1B2,-3117.7522058823524,4.090751999739943,0.0001279759623919145,0.00889667449549655
STAT6,432.57941176470536,-4.069853039821031,0.00013148414608360993,0.009092950477594649
SCOC,-131.34705882352944,4.057465261867491,0.00013631165668387797,0.009359822249005669
GIPC1,74.7617647058824,-4.057284692943497,0.00013675293841746496,0.009359822249005669
NDUFB3,-1256.5470588235303,4.0503399575288075,0.00013985530192908775,0.009523070251356036
DCUN1D5,-138.22352941176484,4.039779564423744,0.0001451936223158723,0.009836127128113024
MAP4K5,-54.507352941176464,4.0475388649527835,0.00014696343196412482,0.009905484515835785
GPR160,-255.40882352941173,4.100527011353061,0.0001477898673808049,0.009910878076173373
LSM8,-47.829411764705924,4.028129362504154,0.0001485946932197442,0.009914775560662127
SP1,354.45000000000005,-4.03333382377846,0.0001501474455619479,0.009968288910857721
MSH3,5498.667647058821,-4.054398290767577,0.0001512570842622043,0.00999199783499278
RPL39,-10546.547058823533,4.021430158030247,0.0001566763748426152,0.010298756956238834
HLA-A,5696.179411764708,-4.014478058816058,0.00015816152433484898,0.01034516610895628
CPD,-708.4617647058822,4.103974199012296,0.0001645217478962902,0.010708430238073241
ZDHHC1,-78.49411764705889,4.095809480630915,0.00016747924334890445,0.010847753137496356
AZI2,-148.5000000000001,4.00421637547013,0.00016939608383440086,0.010918646607539682
PCP4,-12.426470588235247,3.996688307741126,0.00017365732910661197,0.011139236791679196
SRP19,-144.6529411764709,3.9788619618054297,0.00017483050396639106,0.011160574190700675
COX7B,-1010.6911764705887,3.9705970351595252,0.0001829253770294439,0.011381267893375237
LTBP3,45.20784313725488,-4.029641875354591,0.00018343058662315868,0.011381267893375237
FAU,-6786.885294117645,3.991756671411873,0.00017958770121176174,0.011381267893375237
MRFAP1L1,-285.5921568627451,3.9900716469397275,0.00018260245135287277,0.011381267893375237
NPTN,-1201.8441176470596,3.972503836850208,0.00018066129821705875,0.011381267893375237
ARL5A,-332.24117647058824,3.9653125895263743,0.0001832292105314861,0.011381267893375237
PPP2R5C,-126.01666666666665,3.985867861874804,0.0001853495482384505,0.011446843262837887
SUZ12,-798.1617647058829,3.9559056359661735,0.00018889172534190492,0.011611594116156544
PPP2R5A,-917.8529411764707,4.017458741343524,0.000194966435458439,0.011929789539249554
ARPC4,602.6058823529411,-3.943524006273974,0.000196939164682613,0.01199522123236576
TGOLN2,580.0764705882343,-3.9383206936319297,0.00020114675003817073,0.012195555009163613
PPP1CA,107.95294117647074,-3.930844319968589,0.00021112994407134292,0.012742651806269507
APPBP2,-109.85294117647061,3.912587819044715,0.00021865975604402842,0.013137394754536692
TM4SF20,10.514705882352985,-3.9055599113854265,0.00022369206355341275,0.01325974651724203
LONRF1,-69.9882352941176,3.9335226008923723,0.00022322310176331646,0.01325974651724203
RPS14,-7255.289705882351,3.914575050187848,0.0002231497914861024,0.01325974651724203
COQ10B,-547.7441176470593,3.924614751055006,0.0002279216592406821,0.013450416850656788
ZMPSTE24,-586.2088235294118,3.9302286079686306,0.00023281812886674972,0.013678580155277446
DENND1C,147.2882352941176,-3.898324056111777,0.00023691865249718679,0.013713387399634902
TM4SF1,-22.655882352941177,3.93049040322437,0.00023849870128365915,0.013713387399634902
MRPL22,-230.74411764705883,3.893379101259822,0.00023642563581949012,0.013713387399634902
AZIN1,-253.4843137254901,3.924869691323263,0.0002385745209606614,0.013713387399634902
TUBB,685.3205882352936,-3.891282369408471,0.00023570045659535192,0.013713387399634902
ADSS,-353.76470588235316,3.9057382464494523,0.0002423512954727083,0.013870433195200952
LNX2,-40.71470588235297,3.8783779420551605,0.0002452229968249869,0.01397455344138273
RPS10,-11449.78823529412,3.875522028187899,0.00024753246451621625,0.014045880614727859
CCPG1,-300.43235294117653,3.90313287582369,0.00024911604539529697,0.014075586598973417
