"","GSM416528","GSM416529","GSM416530","GSM416531","GSM416532","GSM416533","GSM416534","GSM416535","GSM416536","GSM416537","GSM416538","GSM416539","GSM416540","GSM416541","GSM416542","GSM416543","GSM416544","GSM416545","GSM416546","GSM416547","GSM416548","GSM416549","GSM416550","GSM416551","GSM416552","GSM416553","GSM416554","GSM416555","GSM416556","GSM416557","GSM416558","GSM416559","GSM416560","GSM416561","GSM416562","GSM416563","GSM416564","GSM416565","GSM416566","GSM416567","GSM416568","GSM416569","GSM416570","GSM416571","GSM416572","GSM416573","GSM416574","GSM416575","GSM416576","GSM416577","GSM416578","GSM416579","GSM416580","GSM416581","GSM416582","GSM416583","GSM416584","GSM416585","GSM416586","GSM416587","GSM416588","GSM416589","GSM416590"
"GSM416539",0.0104864760844556,0.00775257420617669,0.00544031741965269,0.0074977014945128,0.0205810505217785,0.0108319783072429,0.0140021255279728,0.0570256602390738,0.00328440169937996,0.0101138293253518,0.00787141274270568,0.5,0.0077720762968672,0.0266643480519312,0.00999949746850783,0.00756635070890296,0.012134077668418,0.00395843356901301,0.00465988617469441,0.0030929726790305,0.00537872549234789,0.00292454115104303,0.00955829412562343,0.00564801628770132,0.00179534049827454,0.00755291817228737,0.021748625336438,0.00906566699951608,0.00497549433975288,0.00740626025739506,0.0169052230968301,0.0113695735997453,0.0260256554694683,0.0062545508376483,0.0186229841973867,0.0119845311239364,0.0187794891306765,0.00747793658792032,0.0141159658332309,0.0033045269924441,0.00185941707686495,0.00244013395266012,0.00266985528077215,0.00322898576356762,0.00420562524975655,0.00318109484477459,0.00210553735684437,0.00358942043808564,0.00382376248976013,0.00216441278874914,0.00155252277328161,0.00194508394344105,0.00204903557927979,0.00148022870324205,0.00168855974994128,0.00174268726742802,0.00183917630499602,0.00241659765567638,0.00176027024111859,0.00171073871187624,0.00258115228489862,0.00168555550004566,0.00162761088420596
"GSM416540",0.0027193476677827,0.00183413437056349,0.00224600495774852,0.00190782346410673,0.0157283054772023,0.0247681834013668,0.0166349619181772,0.00701352891450367,0.0165379294056111,0.0113324397083905,0.00446576170189955,0.0077720762968672,0.5,0.0114246263759014,0.0216118985180801,0.00960126707600224,0.0196868784273866,0.00231302721516359,0.00299799542506484,0.00219613050545163,0.00208090419220617,0.00621324633602973,0.00167289475958716,0.00220110833248771,0.00640088038113659,0.00183494632373149,0.00250499039937648,0.00237228821339891,0.00342275493136936,0.00487428591351645,0.00211746344851775,0.0193619043657427,0.00302941365955503,0.00217381413435561,0.010064941702429,0.00284475787283358,0.00236335782869569,0.0157462198470884,0.0057614923311944,0.00163819936036775,0.00344519777600542,0.0132522144413303,0.00247546988190756,0.0197454390741987,0.0277595279928043,0.0163652601711338,0.0158081226836868,0.0174165497960676,0.0205839518207475,0.0111373868437189,0.00284671878451619,0.00229923944833307,0.00407461391216765,0.00265807345183342,0.00402517860828601,0.00764116883822869,0.00346607770054811,0.00184367075540346,0.00641973042538842,0.00942347111049234,0.0106024422291949,0.00710621563947728,0.0108452535873329
"GSM416541",0.00591707572626357,0.00848957245362169,0.00472993499754193,0.00473204130078213,0.0321747102949887,0.0131507876559255,0.0265073865294058,0.0302861282655875,0.00632079100197114,0.0119262337044065,0.00856861324586062,0.0266643480519312,0.0114246263759014,0.5,0.00973927049266159,0.0247220934919128,0.0179433148319472,0.00356491128203665,0.00455940133299786,0.00275916184076891,0.00417931634213215,0.00315476530208134,0.00497185239329398,0.00354721914890165,0.00236300377032608,0.00463486154670447,0.0159133352982061,0.00871591031929782,0.00504369054841926,0.00628852097744146,0.0089112085378855,0.0098893350233081,0.0164274343996724,0.00594614297797831,0.0161078164199788,0.00783322102821379,0.0135256926385867,0.0102824239960964,0.0123500701419165,0.00310424883677482,0.00217639827750211,0.00409702614927788,0.00256071480786832,0.00446591454437097,0.00914588470822147,0.00539951523775038,0.00332423012119653,0.00490881719335998,0.00879444459912824,0.00302572701587026,0.0017613402357629,0.0019424363767019,0.00242251853065437,0.00163678614436969,0.00219026820289174,0.00237849182917027,0.0019863186467979,0.00212244912290436,0.00231597269703699,0.00249403722744151,0.00349940433800366,0.00258880831626953,0.00238152115744155
"GSM416542",0.00232856593207152,0.00150967794933626,0.00130043377806683,0.00166976410491143,0.00867178278492938,0.0273990519679368,0.0143080110230215,0.00818500817122583,0.0117107121893919,0.0108838123712986,0.00208401688610124,0.00999949746850783,0.0216118985180801,0.00973927049266159,0.5,0.00698145847762832,0.0342084775023376,0.00238944648180594,0.00307318783905411,0.00199385126262104,0.00214744386558182,0.0109760724094077,0.00153150096255384,0.00205676804218974,0.0119964518325147,0.00189697427892023,0.00239428620470378,0.00214095029302983,0.00336044687091389,0.00930591942463491,0.00175215821160197,0.0140113336942859,0.00287248398456568,0.00186463037167571,0.0118819808319938,0.00260212770410145,0.00213823332835996,0.00832152482846485,0.00658300206550474,0.00135732129007267,0.00297461712486282,0.00663325312059788,0.00155200776658316,0.0261387927612409,0.0191192452570307,0.0236405301980813,0.0143753787628766,0.0287217861551368,0.014509844758467,0.012201068937701,0.00240839315550573,0.00192323634704045,0.00347492956966785,0.00239431485894925,0.00351202588057051,0.00487114609319187,0.00290482974497546,0.00164729168181242,0.0126557951117858,0.0108532035317451,0.00752546981333423,0.00479779991045754,0.00950770101218152
"GSM416543",0.00498365940941473,0.0117070882620101,0.00570731594291787,0.00423285325609719,0.0129364065174024,0.00873938908642309,0.0199983166293129,0.0103643633905833,0.0154179264652271,0.0217988103209965,0.0134501353209125,0.00756635070890296,0.00960126707600224,0.0247220934919128,0.00698145847762832,0.5,0.0125946858038501,0.00897179306415846,0.0120291408748363,0.00605451595874989,0.00611062253443029,0.00333251968004165,0.00410867512987959,0.00384503881860322,0.0029094261608053,0.00451283951011682,0.00626135763682118,0.00658826858452082,0.0148234652067472,0.00898903403808725,0.00490219725203892,0.00510346134212808,0.00798237205107759,0.006916053708095,0.00559200297631775,0.00919738544040767,0.00902712975592934,0.00729755087892682,0.0120138260667285,0.0062683560057156,0.00704458660700616,0.00410231889080727,0.00517095568517069,0.00502565287675585,0.0122527614958834,0.00731155382997053,0.00688463201993324,0.00515730148115839,0.0163404173045051,0.00345717280667505,0.00514024775942755,0.00378513353187759,0.00722334812513463,0.00391946450395642,0.00717590346430921,0.00388511362122923,0.00405889592613322,0.00355206318287314,0.00293108615030704,0.00365455087913792,0.0079029981198709,0.00926908124179773,0.00377479436820349
"GSM416544",0.00243636327726145,0.00206899473346117,0.00157695730691931,0.00171481836768445,0.0148069826046383,0.0235964701177325,0.0178932048799616,0.0110769255046923,0.0101382155806444,0.00907844753413737,0.00269101558571573,0.012134077668418,0.0196868784273866,0.0179433148319472,0.0342084775023376,0.0125946858038501,0.5,0.00207174513502893,0.00260742913288672,0.00183087751295534,0.00185813722788681,0.0120367742155551,0.00168572395548595,0.00184662610357785,0.012934693678494,0.0019024643531759,0.00330855681423848,0.00241721085234484,0.00308041187849723,0.00398859768108896,0.00234538279605326,0.0106659052130174,0.00423749869006265,0.00213511791872326,0.00983098973978885,0.00280265903859712,0.00346605219465695,0.00683703855374218,0.00475129805509758,0.00141405761436225,0.0025056260194745,0.0053077963131794,0.00153928507961844,0.0264575744829911,0.0177845931655161,0.0230497166094852,0.0123600981433899,0.0321060681097621,0.0139135193255064,0.00849226686955505,0.00208964114009724,0.00174115862415748,0.00284565035300603,0.00208255617047795,0.00299200846226782,0.00426228729848335,0.0024788397716001,0.0014329174077927,0.011778500599763,0.00857104113290709,0.00506324376072104,0.00423438076654403,0.00829999964046706
"GSM416545",0.00850459398304637,0.00533610703068976,0.00571529209266808,0.00974995408968049,0.00362325119763635,0.00288618393513592,0.00349232443472249,0.004130314193278,0.00325284719850941,0.010162179684002,0.00940056912099842,0.00395843356901301,0.00231302721516359,0.00356491128203665,0.00238944648180594,0.00897179306415846,0.00207174513502893,0.5,0.0358478640807212,0.0176353756329955,0.0163325555718295,0.00903478396154027,0.0128114641711211,0.0143729992765446,0.00276655625083771,0.0212905687963089,0.00647065136140977,0.0115736439575056,0.0317434220008094,0.0155073108167829,0.00519272676325962,0.00864557273344275,0.00573501460203283,0.0158339466546673,0.0144915640423275,0.0139626665799054,0.00521298135366354,0.00492904513140704,0.0118318338164824,0.00613150349046207,0.0104215070335739,0.0038912421927852,0.00565931049013455,0.00173431840932957,0.00218618857750569,0.00184015114753748,0.00199495721014868,0.00177147486878491,0.00322446119658721,0.00332535796358466,0.00906742721434149,0.00731368674000936,0.010096290091633,0.00722978603107755,0.0107439917776889,0.0072208459434281,0.0121131132262439,0.00815089766125012,0.00276230043201109,0.00250746648192416,0.00572329429337609,0.00478723941958495,0.00239835108289509
"GSM416546",0.00837399381445951,0.00457080622887135,0.00436977699667776,0.00827107810615866,0.0041713240673844,0.00346036651860938,0.00443298172036226,0.0044871041189361,0.00400785990506359,0.0178436600628664,0.00771202835407214,0.00465988617469441,0.00299799542506484,0.00455940133299786,0.00307318783905411,0.0120291408748363,0.00260742913288672,0.0358478640807212,0.5,0.0134128310084931,0.0141997957786018,0.00742766463590006,0.0112126806615392,0.0146764188244407,0.00320552692921422,0.01713753099658,0.00547729087885836,0.00944381819719512,0.0256299006513019,0.021892613905804,0.00467596010757083,0.0103584590535845,0.0079369286105123,0.00925244357098019,0.0158463773867013,0.0120929712805532,0.00474729096643991,0.00652374584131345,0.0162388635906362,0.00425183913111756,0.00981005546853365,0.00691426864024316,0.00380455105558644,0.00215889662424931,0.0028959187440673,0.00223017126532012,0.00235992568944483,0.00220645873648186,0.003757056115577,0.00390078349050326,0.0056372768444107,0.00430846437695354,0.0132655766856246,0.00475742895400969,0.01310383781391,0.00880045261997426,0.012088217893569,0.00505045038899003,0.00330251774318839,0.00297384866315422,0.00811543780386912,0.00489969153688367,0.0026311891560286
"GSM416547",0.0142692418980167,0.00922847226193661,0.00910623575228001,0.00896348546244109,0.00287557110735038,0.00232401929468433,0.00261549527639184,0.00339677959751365,0.00336652358635348,0.00634469687693924,0.00654810332750683,0.0030929726790305,0.00219613050545163,0.00275916184076891,0.00199385126262104,0.00605451595874989,0.00183087751295534,0.0176353756329955,0.0134128310084931,0.5,0.0162179313757876,0.00799043973425746,0.0142241601269353,0.0199400685817003,0.00340185171068124,0.0174320457724955,0.00856727513961466,0.00817821558822472,0.0133400217764034,0.00823528619038365,0.00548829361843981,0.00492704322278377,0.0047912861924414,0.0124944360255602,0.00651849429622761,0.00725282954685459,0.0047909625126209,0.00664063069931876,0.00630982668847032,0.01247346408782,0.0148282799364401,0.00455898760688312,0.0107887154746638,0.0018355651223742,0.00229177692690671,0.00198843353199862,0.00260332752209691,0.00181323314953348,0.0057311788340119,0.00641299945674507,0.0178018871512036,0.0154926250759942,0.0140292252651634,0.0139488114167649,0.0123039916558323,0.00932263856469083,0.0206554187519668,0.0144564590052104,0.00351260426393545,0.00347358991312699,0.0065297497239574,0.00741511494083228,0.00356051719463032
"GSM416548",0.0126618083871536,0.0142003124819459,0.010668879638199,0.011770328829467,0.00401330442977624,0.00229011464245205,0.00415191775908492,0.00535090195943227,0.00379643069545614,0.0101895208896101,0.0120557935585109,0.00537872549234789,0.00208090419220617,0.00417931634213215,0.00214744386558182,0.00611062253443029,0.00185813722788681,0.0163325555718295,0.0141997957786018,0.0162179313757876,0.5,0.00324795796476662,0.0158292114096918,0.015182231403054,0.00184365943261835,0.022875461277462,0.011697021722047,0.0142349770545722,0.0139320309307955,0.0145606576870706,0.0116315407286321,0.00388883414463997,0.010383910586033,0.0117422387818676,0.00577861769896698,0.0132655201306796,0.00921882375729337,0.0043921420253109,0.0304545672202665,0.0142737486588039,0.0106104561411654,0.00256948615970041,0.0106196966604701,0.00144427832384945,0.00207084892752597,0.00157007855984852,0.00184351170261874,0.00147638513450241,0.00263340655925821,0.00264130984167212,0.00797350530246752,0.00883902973344836,0.00461788795017652,0.00900621497720031,0.0042171415729803,0.00333008817868446,0.00519755222685724,0.0125679819354044,0.00189305340777143,0.00209241289263195,0.0043477805527394,0.00381217081610082,0.00217813359171808
